RNEC Number,EudraCT Number,Protocol Number,Type of Study,Sponsor's Name,Title of the trial,Recruitment Status,Date of Global End,Infarmed Authorization Date,CEC Opinion Date,Non-technical title,Paediatric Investigation Plan,Medical condition(s),Therapeutic Confirmatory (Phase II),Therapeutic Confirmatory (Phase III),Therapeutic Confirmatory (Phase IV),Age_Range,Gender
11621,2019-001755-39,ACE-LY-312(D8227C00001),Interventional studies with investigational medicinal products,Acerta Pharma B.V. (A Member of the AstraZeneca Group),"A Phase 3, Randomized, Double-Blind, Placebo-Controlled Study of Acalabrutinib in Combination with Rituximab, Cyclophosphamide, Doxorubicin, Vincristine, and Prednisone (R-CHOP) in Subjects ¿75 Years with Previously Untreated Non-Germinal Center Diffuse Large B-Cell Lymphoma.",Active,,30/10/2020,20/11/2020,A Combination of Acalabrutinib with R-CHOP in Subjects with previously untreated non-GCB DLBCL,No,Diffuse large B-cell lymphoma,,Yes,,"Adult , Elderly","Female , Male"
11641,2020-001824-33,EFC15935,Interventional studies with investigational medicinal products,Sanofi-aventis recherche & développement,"A randomized, multicenter, double-blind phase 3 study of amcenestrant (SAR439859) plus palbociclib versus letrozole plus palbociclib for the treatment of patients with ER (+), HER2 (-) breast cancer who have not received prior systemic anti-cancer treatment for advanced disease",Not Commenced,,15/12/2020,15/01/2021,Amcenestrant (SAR439859) plus palbociclib as first line therapy for patients with ER(+) HER2(-) advanced breast cancer ,No,"ER (+), HER2 (-) breast cancer",,Yes,,"Adult , Elderly","Female , Male"
11701,2020-000644-55,EFC16034,Interventional studies with investigational medicinal products,Sanofi-aventis recherche & développement,"A Phase 3, randomized, double-blind efficacy and safety study comparing SAR442168 to teriflunomide (Aubagio®) in participants with relapsing forms of multiple sclerosis ",Not Commenced,,21/09/2020,14/01/2021,Relapsing Forms of Multiple Sclerosis (RMS) Study of Bruton's Tyrosine Kinase (BTK) Inhibitor Tolebrutinib (SAR442168) (GEMINI 2),No,Relapsing Multiple Sclerosis,,Yes,,Adult,"Female , Male"
11721,2020-000647-30,EFC16645,Interventional studies with investigational medicinal products,Genzyme Corporation,"A Phase 3, randomized, double-blind, efficacy and safety study comparing SAR442168 to placebo in participants with nonrelapsing secondary progressive multiple sclerosis",Not Commenced,,22/09/2020,26/02/2021,Nonrelapsing secondary progressive multiple sclerosis (NRSPMS) study of Bruton tyrosine kinase (BTK) inhibitor tolebrutinib SAR442168 (HERCULES),No,Non-relapsing Secondary Progressive Multiple Sclerosis,,Yes,,Adult,"Female , Male"
11761,2020-002349-40,CRTH258A2303E1,Interventional studies with investigational medicinal products,Novartis Pharma AG,"A 56-week phase IIIb/IV, open-label, one-arm extension study to assess the efficacy and safety of brolucizumab 6mg in a Treat-to-Control regimen with maximum treatment intervals up to 20 weeks for the treatment of patients with neovascular Age-related Macular Degeneration who have completed the CRTH258A2303 (TALON) study",Active,,25/11/2020,15/01/2021,"An extension study assessing the efficacy and safety of brolucizumab in a Treat-to-Control regimen in patients with neovascular Age-related Macular Degeneration (nAMD), also commonly referred to as wet AMD, who have completed the CRTH258A2303 (TALON) study",No,neovascular Age-related Macular Degeneration,,Yes,Yes,"Adult , Elderly","Female , Male"
11781,2020-001175-32,BIA-91067-404,Interventional studies with investigational medicinal products,"Bial - Portela & Cª, S.A.                                                                           ","Randomised, double-blind, placebo-controlled, clinical study to evaluate the effect of opicapone 50 mg on Parkinson¿s disease patients with end-of-dose motor fluctuations and associated pain.",Active,,23/12/2020,15/01/2021,Clinical study to investigate if Opicapone 50mg can reduce pain associated to Parkinson¿s disease,No,Parkinson's disease patients with wearing-off motor fluctuations and associated pain.,,,Yes,"Adult , Elderly","Female , Male"
11801,2020-001189-13,C4181005,Interventional studies with investigational medicinal products,PFIZER INC,"A PHASE 2 MULTIPLE DOSE, RANDOMIZED STUDY TO ASSESS THE SAFETY, TOLERABILITY,  PHARMACOKINETICS AND EFFICACY OF RECIFERCEPT IN CHILDREN WITH ACHONDROPLASIA",Active,,26/11/2020,16/03/2021,"Phase 2 study of safety, tolerability, PK and efficacy of recifercept in achondroplasia",No,Achondroplasia,Yes,,,Under 18,"Female , Male"
11841,2020-000633-40,61186372NSC3001,Interventional studies with investigational medicinal products,Janssen-Cilag International N.V.,"A Randomized, Open-label Phase 3 Study of Combination Amivantamab and Carboplatin-Pemetrexed Therapy, Compared with Carboplatin-Pemetrexed, in Patients with EGFR Exon 20ins-mutated Locally Advanced or Metastatic Non-Small Cell Lung Cancer",Active,,08/04/2021,23/04/2021,"A Clinical Study of Combination Amivantamab and Carboplatin-Pemetrexed Therapy, Compared with Carboplatin-Pemetrexed, in Patients with EGFR Exon 20ins-mutated Locally Advanced or Metastatic Non-Small Cell Lung Cancer",No,EGFR Exon 20ins-mutated Locally Advanced or Metastatic Non-Small Cell Lung Cancer ,,Yes,,"Adult , Elderly","Female , Male"
11861,2018-004356-38,M19-388,Interventional studies with investigational medicinal products,AbbVie Deutschland GmbH & Co. KG,An Extension Study of Venetoclax for Subjects Who Have Completed a Prior Venetoclax Clinical Trial,Active,,05/03/2021,21/05/2021,An Extension Study of Venetoclax for Subjects Who Have Completed a Prior Venetoclax Clinical Trial,No,Chronic lymphocytic leukemia; Non-Hodgkin's lymphoma; Multiple Myeloma; T prolymphocytic leukemia; Chronic myeloid leukemia; Waldenstrom's macroglobulinemia lymphoma and Relapsed/refractory pediatric malignancies; Acute Myelogenous Leukemia (AML),,Yes,,"Under 18 , Adult , Elderly","Female , Male"
11922,2020-003079-16,INS-416,Interventional studies with investigational medicinal products,Insmed Incorporated,"ENCORE - A Randomized, Double-Blind, Placebo-Controlled, Active Comparator, Multicenter Study to Evaluate the Efficacy and Safety of an Amikacin Liposome Inhalation Suspension (ALIS)-Based Regimen in Adult Subjects with Newly Diagnosed Nontuberculous Mycobacterial (NTM) Lung Infection Caused by Mycobacterium avium Complex (MAC)",Not Commenced,,30/12/2020,03/06/2022,A study to evaluate the effects of ALIS based treatment in patients newly diagnosed with nontuberculous mycobacterial lung infection caused by MAC,No,Adult Subjects with Newly Diagnosed Nontuberculous Mycobacterial (NTM) Lung Infection Caused by Mycobacterium avium Complex (MAC),,Yes,,"Adult , Elderly","Female , Male"
11941,2017-000586-72,NMSG25/16,Interventional studies with investigational medicinal products,Oslo University Hospital,KRd consolidation in myeloma patients with a positive PET-CT after standard first line treatment. A phase II study,Not Commenced,,20/01/2021,15/01/2021,Kyprolis-Revlimid-dexamethasone consolidation treatment in myeloma patients with a positive PET-CT after standard first line treatment,No,Multiple Myeloma,Yes,,,"Adult , Elderly","Female , Male"
11981,2020-000119-66,BO41843,Interventional studies with investigational medicinal products,F. Hoffmann-La Roche Ltd,"A PHASE III RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, MULTICENTER STUDY EVALUATING THE EFFICACY AND SAFETY OF GDC-9545 COMBINED WITH PALBOCICLIB COMPARED WITH LETROZOLE COMBINED WITH PALBOCICLIB IN PATIENTS WITH ESTROGEN RECEPTOR-POSITIVE, HER2-NEGATIVE LOCALLY ADVANCED OR METASTATIC BREAST CANCER",Active,,11/02/2021,14/12/2020,"A Study to Evaluate the Efficacy and Safety of GDC-9545 Combined with Palbociclib Compared with Letrozole Combined with Palbociclib in Patients with Estrogen Receptor-Positive, HER2-Negative Locally Advanced or Metastatic Breast Cancer",No,"First line of treatment for Estrogen receptor (ER)-positive, HER2-negative locally advanced or metastatic breast cancer",,Yes,,"Adult , Elderly","Female , Male"
12003,2020-002209-25,67652000PCR3002,Interventional studies with investigational medicinal products,Janssen-Cilag International N.V.,"A Phase 3 Randomized, Placebo-controlled, Double-blind Study of Niraparib in Combination with Abiraterone Acetate and Prednisone Versus Abiraterone Acetate and Prednisone for the Treatment of Participants with Deleterious Germline or Somatic Homologous Recombination Repair (HRR) Gene-Mutated Metastatic Castration-Sensitive Prostate Cancer (mCSPC)",Active,,04/02/2021,26/02/2021,A Phase 3 Study of Niraparib in Combination with Abiraterone Acetate and Prednisone Versus Abiraterone Acetate and Prednisone for Treatment of Participants with Deleterious Germline or Somatic Homologous Recombination Repair (HRR) Gene-Mutated Metastatic Castration-Sensitive Prostate Cancer (mCSPC),No,Deleterious Germline or Somatic Homologous Recombination Repair (HRR) Gene-Mutated Metastatic Castration-Sensitive Prostate Cancer (mCSPC),,Yes,,"Adult , Elderly",Male
12022,2020-003688-25,INS1007-301,Interventional studies with investigational medicinal products,Insmed Incorporated,"A Phase 3, Randomized, Double-Blind, Placebo-Controlled Study to Assess the Efficacy, Safety, and Tolerability of Brensocatib Administered Once Daily for 52 Weeks in Subjects with Non-Cystic Fibrosis Bronchiectasis ¿ The ASPEN Study",Active,,07/01/2021,18/02/2021,A study to evaluate the effects of Brensocatib Administered Once Daily for 52 Weeks in Subjects with Non-Cystic Fibrosis Bronchiectasis ¿ The ASPEN Study,Yes,Non-Cystic Fibrosis Bronchiectasis,,Yes,,"Under 18 , Adult , Elderly","Female , Male"
12042,2019-002957-46,56021927PCR3015,Interventional studies with investigational medicinal products,Janssen-Cilag International N.V.,"A Randomized, Controlled, Multicenter, Open-label Study to Investigate the Efficacy and Safety of Adding Apalutamide to Radiotherapy and LHRH Agonist in High-Risk Patients with PSMA-PET-Positive Hormone-Sensitive Prostate Cancer, with an Observational Follow-up of PSMA-PET-Negative Patients.",Active,,10/02/2021,28/06/2021,A research study to assess the efficacy and safety of apalutamide in the treatment of high-risk Hormone-Sensitive Prostate Cancer assessed by an imaging scan.,No,High risk recurrent prostate cancer previously treated with radical prostatectomy,,Yes,,"Adult , Elderly",Male
12043,2019-004931-21,BO42162,Interventional studies with investigational medicinal products,F. Hoffmann-La Roche Ltd,"A PHASE III, RANDOMIZED, OPEN-LABEL, ACTIVE-CONTROLLED, MULTICENTER STUDY EVALUATING THE EFFICACY AND SAFETY OF CROVALIMAB VERSUS ECULIZUMAB IN PATIENTS WITH PAROXYSMAL NOCTURNAL HEMOGLOBINURIA (PNH) NOT PREVIOUSLY TREATED WITH COMPLEMENT INHIBITORS",Active,,19/05/2021,05/05/2021,A Study to Evaluate the Efficacy and Safety of Crovalimab versus Eculizumab in Adult and Adolescent Patients with Paroxysmal Nocturnal Hemoglobinuria (PNH) not previously Treated with Complement Inhibitors,Yes,Paroxysmal Nocturnal Hemoglobinuria (PNH),,Yes,,Under 18,"Female , Male"
12062,2020-000645-14,EFC16035,Interventional studies with investigational medicinal products,Genzyme Corporation,"A Phase 3, randomized, double-blind, efficacy and safety study comparing SAR442168 to placebo in participants with primary progressive multiple sclerosis (PERSEUS)",Active,,23/11/2020,26/02/2021,Primary progressive multiple sclerosis (PPMS) Study of Bruton's tyrosine kinase (BTK) inhibitor tolebrutinib SAR442168 (PERSEUS),No,Primary Progressive Multiple Sclerosis ,,Yes,,Adult,"Female , Male"
12082,2020-001942-20,CCFZ533B2201E1,Interventional studies with investigational medicinal products,Novartis Pharma AG,A TWINSS extension trial to evaluate the safety and tolerability of CFZ533 (iscalimab) at two dose levels administered subcutaneously in patients with Sjögren¿s Syndrome,Active,,31/03/2021,02/03/2021,Study of safety and tolerability of CFZ533 in patients with Sjögren¿s Syndrome,No,Sjögren syndrome,Yes,,,"Adult , Elderly","Female , Male"
12102,2019-004770-25,D7310C00001,Interventional studies with investigational medicinal products,AstraZeneca AB,"A Phase 3 Randomized, Double-blind, Multicenter, Global Study of Monalizumab or Placebo in Combination with Cetuximab in Patients with Recurrent or Metastatic Squamous Cell Carcinoma of the Head and Neck Previously Treated With an Immune Checkpoint Inhibitor",Active,,31/03/2021,21/05/2021,Study of Monalizumab Given With Cetuximab or Placebo Given with Cetuximab in Patients With Head and Neck Cancer that has come back or spread to other parts of the body,No,Patients With Recurrent or Metastatic Squamous Cell Carcinoma of the Head and Neck Previously Treated With an Immune Checkpoint Inhibitor,,Yes,,"Adult , Elderly","Female , Male"
12162,2020-000798-26,20-AVP-786-306,Interventional studies with investigational medicinal products,"Otsuka Pharmaceutical Development & Commercialization, Inc.","A Phase 3, multicenter, randomized, double-blind, placebo-controlled study to assess the efficacy, safety, and tolerability of AVP-786 (deudextromethorphan hydrobromide [d6-DM]/quinidine sulfate [Q]) for the treatment of agitation in patients with dementia of the Alzheimer¿s type.",Not Commenced,,03/02/2021,09/04/2021,"A study to assess the efficacy, safety, and tolerability of AVP-786 for the treatment of agitation in patients with dementia of the Alzheimer¿s type.",No,Agitation in patients with dementia of the Alzheimer¿s type,,Yes,,"Adult , Elderly","Female , Male"
12182,2019-004857-10,GN41851,Interventional studies with investigational medicinal products,F. Hoffmann-La Roche Ltd,"A PHASE III MULTICENTER, RANDOMIZED, DOUBLE-BLIND, DOUBLE-DUMMY, PARALLEL-GROUP STUDY TO EVALUATE THE EFFICACY AND SAFETY OF FENEBRUTINIB COMPARED WITH TERIFLUNOMIDE IN ADULT PATIENTS WITH RELAPSING MULTIPLE SCLEROSIS",Active,,09/02/2021,05/02/2021,To Evaluate the Efficacy and Safety of Fenebrutinib Compared with Teriflunomide in Adult Patients with Relapsing Multiple Sclerosis,No,Relapsing multiple sclerosis (RMS),,Yes,,Adult,"Female , Male"
12202,2020-000454-10,NN1436-4478,Interventional studies with investigational medicinal products,Novo Nordisk A/S,"A 26-week trial comparing the effect and safety of once weekly insulin icodec and once daily insulin degludec, both with or without non-insulin anti-diabetic drugs, in subjects with type 2 diabetes treated with basal insulin",Not Commenced,,29/01/2021,15/01/2021,"A research study to compare two types of insulin, a new weekly insulin, insulin icodec and an available daily insulin, insulin degludec, in people with type 2 diabetes who use daily insulin",No,"Diabetes Mellitus, Type 2",,Yes,,"Adult , Elderly","Female , Male"
12222,2020-001847-16,BO41932,Interventional studies with investigational medicinal products,F. Hoffmann-La Roche Ltd,TUMOR-AGNOSTIC PRECISION IMMUNOONCOLOGY AND SOMATIC TARGETING RATIONAL FOR YOU (TAPISTRY) PHASE II PLATFORM TRIAL,Active,,21/06/2021,19/03/2021,"Tumor-Agnostic Precision Immuno-Oncology and Somatic Targeting
Rational For You (Tapistry) Phase II Platform Trial",No,Solid tumors ,Yes,,,"Under 18 , Adult , Elderly","Female , Male"
